video_id,word,count
XsLpg0fBfvE,ngebantai,1
XsLpg0fBfvE,ngerocos,1
XsLpg0fBfvE,nggatau,1
XsLpg0fBfvE,ngotot,1
XsLpg0fBfvE,nkri,1
XsLpg0fBfvE,nontonya,1
XsLpg0fBfvE,ntar,1
XsLpg0fBfvE,numpuk,1
XsLpg0fBfvE,nyaring,1
XsLpg0fBfvE,nyela,1
XsLpg0fBfvE,ogdj,1
XsLpg0fBfvE,oibowoketawa,1
XsLpg0fBfvE,omong,1
XsLpg0fBfvE,organisasi,1
XsLpg0fBfvE,orgil,1
XsLpg0fBfvE,pabrik,1
XsLpg0fBfvE,padahal,1
XsLpg0fBfvE,padapemain,1
XsLpg0fBfvE,pakai,1
XsLpg0fBfvE,pandai,1
XsLpg0fBfvE,panggil,1
XsLpg0fBfvE,panjang,1
XsLpg0fBfvE,pantes,1
XsLpg0fBfvE,papua,1
XsLpg0fBfvE,pas,1
XsLpg0fBfvE,pasu,1
XsLpg0fBfvE,patah,1
XsLpg0fBfvE,pecah,1
XsLpg0fBfvE,pedahal,1
XsLpg0fBfvE,peeilaku,1
XsLpg0fBfvE,pelan,1
XsLpg0fBfvE,pelihara,1
XsLpg0fBfvE,pengamatdari,1
XsLpg0fBfvE,penggangguran,1
XsLpg0fBfvE,penjilad,1
XsLpg0fBfvE,pensil,1
XsLpg0fBfvE,perilaku,1
XsLpg0fBfvE,personorang,1
XsLpg0fBfvE,pikir,1
XsLpg0fBfvE,pilih,1
XsLpg0fBfvE,pimpin,1
XsLpg0fBfvE,pintar,1
XsLpg0fBfvE,pk,1
XsLpg0fBfvE,planga,1
XsLpg0fBfvE,plongo,1
XsLpg0fBfvE,pohon,1
XsLpg0fBfvE,polisikelamaan,1
XsLpg0fBfvE,politikmunapit,1
XsLpg0fBfvE,posisi,1
XsLpg0fBfvE,prabowo,1
XsLpg0fBfvE,proses,1
XsLpg0fBfvE,putus,1
XsLpg0fBfvE,rajalela,1
XsLpg0fBfvE,rakrat,1
XsLpg0fBfvE,rame,1
XsLpg0fBfvE,rasa,1
XsLpg0fBfvE,rawan,1
XsLpg0fBfvE,ray,1
XsLpg0fBfvE,repot,1
XsLpg0fBfvE,resah,1
XsLpg0fBfvE,residivis,1
XsLpg0fBfvE,royi,1
XsLpg0fBfvE,royrayrismontyfasahban,1
XsLpg0fBfvE,roytambah,1
XsLpg0fBfvE,rsj,1
XsLpg0fBfvE,rt,1
XsLpg0fBfvE,rumah,1
XsLpg0fBfvE,s,1
XsLpg0fBfvE,saia,1
XsLpg0fBfvE,sales,1
XsLpg0fBfvE,sampai,1
XsLpg0fBfvE,sampe,1
XsLpg0fBfvE,sangat,1
XsLpg0fBfvE,sbg,1
XsLpg0fBfvE,sby,1
XsLpg0fBfvE,sebrang,1
XsLpg0fBfvE,segera,1
XsLpg0fBfvE,sekarang,1
XsLpg0fBfvE,sekolah,1
XsLpg0fBfvE,selalu,1
XsLpg0fBfvE,semua,1
XsLpg0fBfvE,semuaa,1
XsLpg0fBfvE,sendiri,1
XsLpg0fBfvE,sengit,1
XsLpg0fBfvE,serba,1
XsLpg0fBfvE,sering,1
XsLpg0fBfvE,sesak,1
XsLpg0fBfvE,sgt,1
XsLpg0fBfvE,shg,1
XsLpg0fBfvE,siapa,1
XsLpg0fBfvE,sifat,1
XsLpg0fBfvE,sihudah,1
XsLpg0fBfvE,simple,1
XsLpg0fBfvE,sini,1
XsLpg0fBfvE,siplester,1
XsLpg0fBfvE,sistem,1
XsLpg0fBfvE,sisuryo,1
XsLpg0fBfvE,slm,1
XsLpg0fBfvE,so,1
XsLpg0fBfvE,solo,1
XsLpg0fBfvE,sombong,1
XsLpg0fBfvE,songkok,1
XsLpg0fBfvE,songkoknua,1
XsLpg0fBfvE,sosmed,1
XsLpg0fBfvE,srilangka,1
XsLpg0fBfvE,stres,1
XsLpg0fBfvE,stress,1
XsLpg0fBfvE,stroke,1
XsLpg0fBfvE,sungguh,1
XsLpg0fBfvE,suruh,1
XsLpg0fBfvE,surup,1
XsLpg0fBfvE,suryoudah,1
XsLpg0fBfvE,susah,1
XsLpg0fBfvE,swt,1
XsLpg0fBfvE,tahan,1
XsLpg0fBfvE,tahu,1
XsLpg0fBfvE,taiknya,1
XsLpg0fBfvE,taman,1
XsLpg0fBfvE,tambah,1
XsLpg0fBfvE,tampa,1
XsLpg0fBfvE,tampil,1
XsLpg0fBfvE,tangkapla,1
XsLpg0fBfvE,taring,1
XsLpg0fBfvE,tawa,1
XsLpg0fBfvE,telanjang,1
XsLpg0fBfvE,temul,1
XsLpg0fBfvE,temull,1
XsLpg0fBfvE,tepuk,1
XsLpg0fBfvE,ter,1
XsLpg0fBfvE,terang,1
XsLpg0fBfvE,terima,1
XsLpg0fBfvE,terpa,1
XsLpg0fBfvE,tertawa,1
XsLpg0fBfvE,tetap,1
XsLpg0fBfvE,thailanddll,1
XsLpg0fBfvE,tiap,1
XsLpg0fBfvE,timpal,1
XsLpg0fBfvE,tinggal,1
XsLpg0fBfvE,tinggi,1
XsLpg0fBfvE,tonton,1
XsLpg0fBfvE,toy,1
XsLpg0fBfvE,tpi,1
XsLpg0fBfvE,trpendam,1
XsLpg0fBfvE,trus,1
XsLpg0fBfvE,tuju,1
XsLpg0fBfvE,tukang,1
XsLpg0fBfvE,tunggu,1
XsLpg0fBfvE,udang,1
XsLpg0fBfvE,ugm,1
XsLpg0fBfvE,ugmtapi,1
XsLpg0fBfvE,ujung,1
XsLpg0fBfvE,ulah,1
XsLpg0fBfvE,umur,1
XsLpg0fBfvE,untuk,1
XsLpg0fBfvE,usah,1
XsLpg0fBfvE,utara,1
XsLpg0fBfvE,utk,1
XsLpg0fBfvE,valid,1
XsLpg0fBfvE,wahawaha,1
XsLpg0fBfvE,wajib,1
XsLpg0fBfvE,waktu,1
XsLpg0fBfvE,wapres,1
XsLpg0fBfvE,waras,1
XsLpg0fBfvE,warasmoga,1
XsLpg0fBfvE,warass,1
XsLpg0fBfvE,warga,1
XsLpg0fBfvE,wayang,1
XsLpg0fBfvE,wkwkkwwkkwkwk,1
XsLpg0fBfvE,wkwkw,1
XsLpg0fBfvE,woi,1
XsLpg0fBfvE,wong,1
XsLpg0fBfvE,wujud,1
XsLpg0fBfvE,yhh,1
