video_id,comment,published_at
9e5M1bDvhTA,Jenderal TNI menurunkan harga diri institusi TNI dan gak bisa liat rakyat lagi berpihak dimana padahal dimedsos lagi bagus image TNI bersama rakyat,2025-09-09T00:07:24Z
9e5M1bDvhTA,"Wah anak Abah akan diproses Hukum, jangan mau diproses sendiri minta Abah tanggung jawab Bro.",2025-09-09T00:06:18Z
9e5M1bDvhTA,"Justru Fery ini ngebantu pemerintah , aneh tuh jendral salah nuduh !",2025-09-09T00:05:06Z
9e5M1bDvhTA,"Ini atas nama TNI atau personal? Kalo mewakili TNI, kasian sekali bakal buruk tuh institusi TNI di mata rakyat yg punya otak, kalo personal kasian sekali anda mempermalukan diri sendiri😂😂😂",2025-09-08T23:59:30Z
9e5M1bDvhTA,Betul bung ide gak bisa di bungkam itu kalau ide baik dan nriliyan tapi ide propokator propaganda harus di musnahkan bung jgn berterik paling tersakiti justru orang yg teriak seperti itu pelaku utama,2025-09-08T23:57:06Z
9e5M1bDvhTA,Gak ada lari enk aja masukan aja lebih baik di penjara,2025-09-08T23:55:03Z
9e5M1bDvhTA,Jgn tenang semua harus di tahan enak aja minta di tguhkn,2025-09-08T23:54:25Z
9e5M1bDvhTA,"Sibar siber, coba bantu basmi JUDOL tuh, terlalu ter*ng menj*latnya?",2025-09-08T23:52:32Z
9e5M1bDvhTA,"Kalo keseringan tidak masuk akal, mana orang normal bisa percaya",2025-09-08T23:47:00Z
9e5M1bDvhTA,Kandrun😂😂😂😂😂,2025-09-08T23:44:46Z
9e5M1bDvhTA,"Main terror, reppresif terhadap warga, gak boleh dibiarkan. Menyebut nama dengan jelas tapi tidak menyebut tindak pidananya ini melanggar prinsip praduga tak bersalah seseorang. Ini bentuk TERROR aparat terhadap Warga sipil!",2025-09-08T23:41:23Z
9e5M1bDvhTA,Mntap TNI lanjutkan,2025-09-08T23:36:55Z
9e5M1bDvhTA,Bro coba-coba menguji mental pejuang tim onodera😭,2025-09-08T23:29:26Z
9e5M1bDvhTA,Kalo ada salah yaa minta maaf. Itu ajaran tak tertulis di Indonesia,2025-09-08T23:25:03Z
